

 number of simulation is --> 0



 number of simulation is --> 0



 number of simulation is --> 0

 S E I R
24 0.8279 0.1269 0.0313 0.0142
25 0.7933 0.15 0.0386 0.0184
26 0.7567 0.1733 0.0468 0.0235
27 0.7169 0.1979 0.0558 0.0297
28 0.6751 0.2226 0.0657 0.0369
29 0.6297 0.2489 0.0764 0.0453
30 0.5791 0.2782 0.088 0.055
31 0.5315 0.3026 0.1001 0.0661
32 0.4898 0.3198 0.1122 0.0785
33 0.4494 0.3345 0.1242 0.0922
34 0.4092 0.348 0.1359 0.1072
35 0.3742 0.3557 0.1469 0.1235
36 0.3381 0.3639 0.1574 0.1409
37 0.3074 0.3665 0.167 0.1594
38 0.2811 0.3648 0.1755 0.1789
39 0.2564 0.3617 0.183 0.1992
40 0.2331 0.3575 0.1895 0.2202
41 0.2155 0.3484 0.1946 0.2418
42 0.1982 0.3396 0.1987 0.2638
43 0.1838 0.3288 0.2016 0.2861
44 0.1701 0.3181 0.2034 0.3087
45 0.1592 0.3055 0.2043 0.3313
46 0.1487 0.2935 0.2042 0.3539
47 0.1399 0.2808 0.2032 0.3764
48 0.131 0.2691 0.2015 0.3987
49 0.1201 0.26 0.1994 0.4208
50 0.1132 0.2479 0.1966 0.4426
51 0.1067 0.2363 0.1933 0.464
52 0.1006 0.2251 0.1896 0.485
53 0.0946 0.2146 0.1855 0.5056
54 0.0902 0.2034 0.181 0.5257
55 0.0867 0.1922 0.1762 0.5452
56 0.0824 0.1825 0.1712 0.5642
57 0.0787 0.1729 0.1661 0.5826
58 0.0754 0.1637 0.1608 0.6004
59 0.0731 0.1542 0.1554 0.6176
60 0.0712 0.145 0.1499 0.6342
61 0.0689 0.1368 0.1444 0.6502
62 0.0666 0.1292 0.1389 0.6656
63 0.065 0.1215 0.1334 0.6804
64 0.0634 0.1144 0.1279 0.6946
65 0.0615 0.108 0.1226 0.7082
66 0.0602 0.1015 0.1174 0.7212
67 0.059 0.0954 0.1123 0.7336
68 0.0586 0.089 0.1072 0.7455
69 0.0579 0.0833 0.1023 0.7568
70 0.0573 0.078 0.0974 0.7676
71 0.0564 0.0733 0.0927 0.7779
72 0.0556 0.0689 0.0882 0.7876
73 0.0549 0.0647 0.0838 0.7969
74 0.0541 0.0609 0.0796 0.8057
75 0.0533 0.0573 0.0756 0.8141
76 0.0526 0.0539 0.0718 0.822
77 0.0519 0.0507 0.0682 0.8295
78 0.0516 0.0474 0.0647 0.8366
79 0.0511 0.0445 0.0613 0.8434
80 0.0507 0.0417 0.0581 0.8498
81 0.0503 0.0391 0.055 0.8559
82 0.0498 0.0368 0.0521 0.8616
83 0.0497 0.0343 0.0493 0.867
84 0.0493 0.0323 0.0466 0.8721
85 0.0491 0.0302 0.0441 0.8769
86 0.0488 0.0284 0.0416 0.8815
87 0.0487 0.0265 0.0393 0.8858
88 0.0484 0.0249 0.0371 0.8899
89 0.0483 0.0233 0.035 0.8937
90 0.0479 0.0221 0.033 0.8973
91 0.0479 0.0206 0.0311 0.9007
92 0.0478 0.0193 0.0293 0.9039
